abbreviate[動],（言葉などを）短縮する、省略する
 abdominal[形],腹部の、腹腔の
 abide[動],（～に）従う、順守する
 abridged[形],要約された、短縮された
 abundant[形],豊富な、十分な
 acquainted[形],（～と）知り合いである（with ～）
 activation[名],活動的にすること、有効化
 adaptable[形],適応できる、順応性のある
 additive[名],（食品などの）添加物
 adhere[動],固執する、くっつく、順守する
 adjacent[形],近くの、（～に）隣接した (to ～)
 admittance[名],入場許可
 adopt[動],養子にする
 adversity[名],逆境、災難、不運
 advertiser[名],広告主
 affiliation[名],提携、加入
 affluent[形],裕福な、豊富な
 affordably[副],手ごろに
 aggravate[動],悪化させる、深刻にする
 airfare[名],航空運賃
 allergic[形],アレルギー性の、アレルギー体質の
 alleviate[動],（苦痛などを）軽減する、和らげる
 amenity[名],生活を快適にする施設/環境、アメニティ、快適さ
 Antarctic[名],南極
 anthropologist[名],人類学者
 ape[名],（ゴリラ、チンパンジーなどの）類人猿
 applicable[形],適用される
 appraisal[名],査定、評価
 apprentice[名],見習い、実習生
 aristocrat[名],貴族
 artful[形],巧妙な
 artisan[名],職人、熟練工
 assortment[名],詰め合わせ、寄せ集め
 assuredly[副],確かに、確信して
 asthma[名],ぜんそく
 astound[動],仰天させる、がくぜんとさせる
 attendee[名],出席者
 attire[名],服装
 avid[形],熱心な、熱烈な
 beggar[名],物乞い、貧者
 belongings[名],持ち物、所有品
 beneficiary[名],（保険、年金など）受取人、恩恵を受ける人
 beverage[名],飲み物、飲料
 biased[形],偏見のある、先入観を持った
 bilateral[形],双方の、双方向の、２国間の
 bill[動],～に請求する、～に請求書を送る
 blotch[名],大きなしみ、汚れ
 borrowing[名],借金、借用
 brittle[形],もろい
 brose[動],（特に買う気もなく店内を）見て回る
 buck[名],ドル
 buskin[名],バスキン（特殊な皮の編み上げブーツ）
 candidly[副],率直に
 carbonation[名],炭酸化
 carpentry[名],大工仕事
 Celsius[名],摂氏
 centerpiece[名],(テーブル等の)中央部の装飾
 chairwoman[名],女性の議長、女性の会長
 charitable[形],慈善の、気前が良い
 chore[名],雑用
 chuckle[動],くすくす笑う
 clerical[形],事務の、事務職の
 co-worker[名],同僚、協力者
 commence[動],開始する
 common[名],共有地、公有地、広場
 compliance[名],追従、順守
 complimentary[形],優待の、無料の
 condense[動],濃縮する、要約する
 conformity[名],(規則などに)従うこと、適合
 congested[形],渋滞した、混雑した
 considerate[形],思いやりのある、理解のある
 consortium[名],共同企業体、合弁企業
 contingency[名],不測の事態、偶発事故
 contractually[副],契約より
 converse[動],会話をする
 cookware[名],（鍋、フライパン等の）調理器具
 courtyard[名],中庭
 coward[名],臆病者
 craftspeople[名],職人
 crate[名],木箱
 credential[名],（複数形で）信任状、資格、経歴、資質
 creed[名],（宗教上の）信条
 crevice[名],(岩などの)割れ目
 cuisine[名],料理
 culinary[形],料理の
 curfew[名],門限
 cutting-edge[形],最先端の（を行く）
 deceased[形],死んだ
 decor[名],装飾（様式）
 decorator[名],室内装飾業者
 defective[形],欠陥のある、不完全な
 deliberation[名],熟考
 delinquency[名],（青少年の）非行、犯罪
 demeanor[名],態度、振る舞い
 demolish[動],（建物などを）解体する、取り壊す
 density[名],密度、濃さ
 dent[名],（衝撃を受けてできた小さな）へこみ
 desolate[形],荒廃した、不毛の
 detergent[名],洗剤
 detour[名],回り道、う回路
devastating[形],悲惨な、壊滅的な
 diarrhea[名],下痢
 digit[名],桁、数字
 diploma[名],卒業証書、免許状
 discontinued[形],（製造・販売が）終了した
 discrepancy[名],食い違い、不一致、相違
 dismal[形],陰気な、憂うつな
 dispense[動],分配する、施す
 disregard[動],無視する、軽視する
 distractive[形],気を散らす、気を狂わせる
 diversify[動],多様化する、多角化する
 downside[名],（the ～）否定的側面、弱点
 drapery[名],（ヒダノのついた）カーテン、生地
 drowsiness[名],眠気
 emphatically[副],断固として、きっぱりと
 entail[動],必要とする、（必然的に）伴う
 excursion[名],遠足、小旅行
 exemplary[形],模範的な
 expedite[動],はかどらせる、促進する
 exponentially[副],加速度的に、指数関数的に
 fabricate[動],作り上げる、でっちあげる、製作する
 facade[名],（建物の）正面、外見
 feasible[形],実現（実行）可能な
 fiduciary[形],信託の
 firework[名],花火
 flammable[形],可燃性の
 florist[名],生花店の店員、生花店
 fluctuation[名],変動
 flunk[動],（科目、学科を）落とす
 friction[名],摩擦、不和
 full-sized[形],実物大の、原寸の
 fund-raising[形],資金調達のための、慈善の
 fundraiser[名],資金集めの催し
 gadget[名],（小さい）道具、便利な小道具
 gala[名],祝祭、祭り
 get-together[名],集まり、懇談会、親睦会
 graphic[形],（描写が）露骨な、生々しい
 groom[動],育てる、手入れをする
 gross[動],～の総収益／総利益をあげる
 handrail[名],（階段などの）手すり、欄干
 herbal[形],薬草の、漢方の
 high-end[形],最高級の
 high-frequency[形],高周波の、高頻度の
 homogeneous[形],均質の、同種の、同質の
 hub[名],中心（地）、中核
 impending[形],差し迫った、切迫した
 imperative[形],必須の、避けられない、急務の
 inadvertently[副],何の気なしに、偶然に、うっかり
 inaugural[形],最初の、初開催の
 inception[名],（活動、組織などの）開始、発端、創設
 inclement[形],荒れ模様の
 inefficiency[名],非効率
 infringement[名],侵害、違反
 ingest[動],摂取する
 installment[名],分割払いの1回分
 integral[形],不可欠な、完全な
 interdepartmental[形],部門（部署）間の、各部門（部署）の
 interim[形],中間の、暫定的な、仮の
 intermission[名],休憩時間、休止、中断
 interstate[名],（州と州を結ぶ）幹線道路、インターステイト
 inventory[名],在庫、在庫目録
 invigorate[動],活性化する、活力を与える
 irrational[形],不合理な、筋の通らない
 itch[動],かゆい
 itemize[動],項目別にする
 itinerary[名],旅行日程（表）
 janitorial[形],清掃の、清掃員の、ビル管理の
 jargon[名],特殊用語、業界用語
 jet lag[名],時差ボケ
 jetty[名],防波堤
 justification[名],正当化の理由、正当化
 keynote[名],基調、要旨、主眼
 landscaping[名],造園
 lapse[名],小さな過失、時の経過
 last-minute[形],土壇場の、間際になっての
 leaky[形],濡れる、秘密を漏らしやすい
 leave[名],休暇
 lethal[形],致死の、致命的な
 leverage[動],借入金で投機をさせる
 liability[名],（賠償の）責任
 liaison[名],（組織間の）連絡、連絡係
 librarian[名],司書、図書館員
 light fixture[名],照明器具
 linguist[名],言語学者
 liquidate[動],（負債などを）清算する、（会社など）整理する
 livable[形],住みやすい、住むのに適した
 logistics[名],物流
 low-fat[形],低脂肪の
 malfunction[名],故障、不調
 mandatory[形],義務的な、必須の
 Mars[名],火星
 master's degree[名],修士号
 mentor[動],（新人）を指導する
 meticulously[副],注意深く、慎重に
 minimal[形],最小の、最小限度の
 minute[名],（複数形で）議事録
 miscellaneous[形],種々雑多な
 nausea[名],吐き気
 necessitate[動],必要とする
 nerves[名],神経過敏
 nominal[形],ほんのわずかの、名目上の
 nostalgia[名],追憶、郷愁
 objectionable[形],不快な、気に障る
 obstruct[動],妨害する、さえぎる
 occupancy[名],（ホテルや部屋等の）占有、占有人数
 on-site[形],社内の、現場の
 onslaught[名],猛攻撃、強襲
 optimal[形],最適の、最上の
 ordinance[名],法令、布告
 orphanage[名],孤児院、児童養護施設
 osteoporosis[名],骨粗鬆(そしょう)症
 otolaryngology[名],耳鼻咽喉学
 outage[名],機能停止期間、供給停止期間
 outgrow[動],～よりも成長する
 outing[名],外出、お出かけ
 outlying[形],中心から離れた
 outnumber[形],数で勝る、多い
 outperform[動],~より性能がすぐれている.
 outweigh[動],～より重い、～に勝る、～を上回る
 overact[動],大げさに演じる、やりすぎる
 overhaul[動],徹底的に見直す、精査する
 oversee[動],監督する、取り締まる
 oversight[名],見落とし、見過ごし
 patronage[名],（芸術、事業などの）後援、保護、奨励
 patterned[形],柄の入った
 payroll[名],給与台帳、給料
 perforation[名],ミシン目、切り取り線
 periodical[名],定期刊行物、雑誌
 phenomenal[形],驚異的な、並外れた
 philanthropic[形],博愛の、慈善事業の
 plausible[形],もっともらしい、理にかなっている
 playful[形],遊び好きの、跳ね回る
 playwright[名],脚本家
 plummet[動],（価格などが）急落する
 pointless[形],無意味な、要領を得ない
 poised[形],用意ができている、身構えて
 portfolio[名],作品集、有価証券一覧
 precedent[名],先例、前例、判例
 predictably[副],予想通りに
 premises[名],敷地
 prerequisite[名],必須条件、必要条件
 pro-choice[形],中絶（合法化に）賛成の
 procrastinate[動],ぐずぐずする、先延ばしにする
 projectionist[名],映写技師
 proprietor[名],所有者、（特に不動産の）持ち主
 provisional[形],仮の、暫定的な
 proximity[名],近接、近さ
 pulley[名],滑車、ベルト車
 purveyor[名],供給業者、販売業者
 quality-control[形],品質管理の
 quote[名],提示価格、見積もり、引用
 ramp[名],ランプ（高速道路などへの出入り口の坂道）、傾斜路
 ration[動],配給する
 reactivate[動],再び活動的にする
 reagent[名],試薬
 real estate[名],不動産
 rebate[名],一部払い戻し、割戻し
 rebirth[名],再生、復活
 received[形],一般に認められた
 receptive[形],受容的な、（新しい考えなどを）よく受け入れる
 reconvene[動],再集合する、再招集する
 rectangular[形],長方形の、直角の
 redeem[動],返済する、取り戻す、引き換える、(弱点などを)補う
 redeemable[形],商品に換えられる、換金できる
 redundancy[名],余剰人員、余分
 refinery[名],精製所、精油所
 refurbish[動],一新する、改装する
 refute[動],（間違いを）証明する
 reimburse[動],払い戻す
 reimbursement[名],払い戻し、返済、返還
 remit[動],送金する
 remuneration[名],報酬、給料
 renovate[動],改装する
 renovation[名],改装
 repave[動],（道路）を再舗装する
 repetitive[形],繰り返しが多い、単調な
 replenish[動],補給する、補充する
 replica[名],原作の写し、模写、複製
 reputable[形],評判の良い
 reschedule[動],スケジュール変更する
 residency[名],（医師の）研修期間
 resourceful[形],機転がきく、臨機応変の
 respondent[名],回答者
 restart[動],再始動させる
 revert[動],（元の状態、習慣等に）戻る
 revitalize[動],復興させる、再生する、再活性化する
 rigorous[形],厳格な、厳密な、正確な
 seep[動],（水などが）漏れる
 self-made[形],（人が）自らの努力で成功（出世）した
 seniority[名],年功(序列)
 sequel[名],続編
 shed[名],小屋、物置
 short-sleeved[形],半袖の
 shortcoming[名],欠点、短所
 shuffle[動],混ぜる、移し替える、トランプを切る
 signage[名],看板、標識
 silicon[名],珪素
 sinus[名],洞
 skepticism[名],疑い
 slate[動],予定を立てる、計画する
sleek[形],つやのある、流線型の、人あたりが良い
 sluggish[形],のろい、緩慢な、活気のない
 soaked[形],（雨などで）びしょ濡れの
 soap opera[名],（主婦を主なターゲットにした）連続メロドラマ
 solicit[動],勧誘する、懇願する、求める
 solution[名],溶液
 sparingly[副],控えめに、慎重に
 spoilage[名],(食物の)腐敗、損傷
 stagnant[形],よどんだ、活気がない、停滞した
 standstill[名],停止、足踏み状態
 start-up[形],（会社などが）創業したばかりの
 state-of-the-art[形],最新式の、最先端の
 stink[動],悪臭がする、（ひどく）臭い
 stockbroker[名],株式仲買人
 streamline[動],合理化する、簡略化する
 strenuous[形],精力的な、骨の折れる、激しい
 stringent[形],（規則が）厳しい
 stunning[形],気絶させるような、（びっくりするほど）素晴らしい
 sturdy[形],頑丈な、丈夫な
 submission[名],提出物、提出
 subscribe[動],予約購読する
 subscriber[名],加入者、予約（定期）購読者
 subtotal[名],小計
 supplementary[形],追加の、補充的な
 surcharge[名],追加料金
 sustainability[名],サステイナビリティ(環境を維持しながら社会活動を行うこと)、持続可能性
 sustainable[形],持続可能な、維持できる、環境に優しい
 sweeping[形],広範囲にわたる、圧倒的な
 syndicate[動],複数の新聞や放送局に同時に配信する
 synthetic[形],合成された、合成の
 tactic[名],方策、戦術
 tailor[動],（ニーズや目的に合うように）合わせる、調整する
 tattoo[名],入れ墨
 tenure[名],(大学教授の)終身在職権、在職期間
 testimonial[名],証明書、推薦状
 ticker[名],相場表示機、ティッカー
 timeline[名],予定（スケジュール）表
 timepiece[名],時計
 timid[形],臆病な
 toll-free[形],料金のいらない
 transact[動],（業務、取引を）行う、処理する
 transcript[名],（音声の）書き起こし、文字にしたもの
 transit[名],輸送、運搬、通過
 trash bin[名],ゴミ箱
 troubleshooting[名],トラブル解決、修理
 trustee[名],理事、役員、管財人
 tuition[名],授業料
 turnaround[名],立て直し、好転、処理時間
 turnout[名],参加者数、来場者数、生産高
 turnover[名],離職率
 two-fold[形],2倍の
 ultrasonic[形],超音波の
 unbiased[形],偏見のない、公平な
 underway[形],進行中の、運行中で
 unmanageable[形],扱いづらい
 unrivaled[形],他の追随を許されない、比肩するものがいない
 unsolicited[形],頼んでいないのに与えられた
 unveil[動],発表する、公表する、覆いを取る
 unwavering[形],揺るがぬ、断固した
 upper[名],靴の甲
 vacuum-sealed[形],真空密封された
 vend[動],売る
 ventilation[名],換気、風通し
 verdict[名],(陪審員の)評決、決定、判断
 verify[動],証明する、確認する、検証する
 versatile[形],多才な、多用途の、融通が利く
 visionary[形],先見の明のある、明確なビジョンを持った
 void[動],無効にする、取り消す
 waive[動],（権利や条件を）放棄する、免除する
 weather[動],（困難などを）乗り越える、乗り切る
 well-off[形],裕福な
 westernization[名],西欧化
 wheel[動],（車輪の付いたものを）動かす
 wheelbarrow[名],（手押しの）一輪車
 willingness[名],快く（～）すること
 wiring[名],配線、架線
 wrinkle-resistant[形],シワが寄りにくい
 zookeeper[名],動物園の管理責任者
