(be) adept at ～,～に熟練した
(be) attuned to ～,～に順応した、調和した、波長が合った
a spate of ～,相次ぐ/一連の/多数の～
 abate[動],和らぐ、治まる、少なくなる
 abdicate[動],（地位、権利などを）放棄する、退位する
 aberration[名],異常、常軌を逸すること
 abject[形],悲惨な、みじめな
 abominable[形],嫌悪感を引き起こす、言語道断な
 abomination[名],嫌悪を引き起こすもの、嫌悪の対象
 aboveboard[形],公明正大な
 abrasive[形],いらいらさせる、不快な、耳障りな、(表面が）ざらさらした
 abridged[形],要約された、短縮された
 abrogate[動],破棄する、廃止する
 abruptly[副],不意に、突然
 abscond[動],逃げる、逃亡する、姿をくらます
absolve ～ of/from …,～を …の罪（責任）から無罪放免する
 absolve[動],～が無実であると認める
 abstention[名],自制、(投票の）棄権
 abstinence[名],節制、禁欲
 absurdity[名],不合理、不条理、ばかげた行為
 abundance[名],豊富さ、大量、豊富なこと
 abuse[動],乱用する、虐待する
 abyss[名],溝、深淵
accede to ～,～に同意する/従う/加盟する、～を受け継ぐ
 accelerate[動],加速させる、促進する
 accentuate[動],を際立たせる、強調する
 acclaim[動],賞賛する
 acclaim[名],大かっさい、賞賛
 accomplice[名],共犯者
 accost[動],近づいて声をかける
 accreditation[名],認可、公認、認定
 accrue[動],（利益などが）生じる、増加する
 accusation[名],告発
 acolyte[名],従者、信奉者、助手
acquiesce in/to ～,～を黙認する、～に（不本意ながら）同意する
 acrimony[名],(口調などの）とげとげしさ、辛辣さ
 acute[形],（痛みが）鋭い、急性の、(事態が）深刻な、重大な
 adamant[形],決意の固い、断固とした
 addendum[名],補遺、付録
 addictive[形],中毒性のある、習慣性のある
 address[動],～（問題など）に取り組む/対処する、～（問題など）を取り扱う
 adequate[形],十分な、適切な
 adherent[名],支持者、信奉者
 adjacent[形],近くの、（～に）隣接した (to ～)
 adjourn[動],（会議などを）中断する、一時休止する
 adjudicate[動],（～（事件など）を）裁く (on ～)
 adjunct[形],非常勤の、補助の、（～に）付属の (to ～)
 administer[動],管理する、運営する
 admonish[動],～に忠告する、～を諭す
 adolescent[形],青年期の、思春期の
 adorn[動],を（～で）飾る、装飾する
 adorn[動],（…で）～を飾る、装飾する (with …)
 adroit[形],巧みな、器用な、機敏な、気の利いた
 adulation[名],お世辞、へつらい、極端な賞賛、お世辞、追従
 advent[名],出現、到来
 adversarial[形],敵対的な
 advocate[名],提唱者、支持者、弁護人
 aesthetically[形],美的に、美的観点から
 affability[名],愛想の良さ
 affiliation[名],提携、加入
 affinity[名],親近感、共感、類似性
 affix[動],添付する、添える
 affliction[名],苦痛、苦難
 affluent[形],裕福な、豊富な
 agape[形],（口を）ぽかん／大きくと開けた
 agenda[名],議事、議題、議事日程
 aggravate[動],悪化させる、悩ませる
 agility[名],敏捷性、機敏さ
 agitate[動],扇動する、動揺させる
 agnostic[形],不可知論の、不可知論的な
 agrarian[形],農地の、農業の、農民の
 ailment[名],（慢性的な）病気、不快
 alacrity[名],機敏さ、敏捷さ
 albeit[接],～とはいえ、たとえ～といえども
 alienate[動],遠ざける、無視する、疎外する
 alienation[名],疎外すること、疎外感、疎遠
 alignment[名],整列、連携
 allegedly[副],申し立てによると、伝えられるところによると
 alleviate[動],（苦痛などを）軽減する、和らげる
 alliance[名],同盟、提携
 allocate[動],割り当てる、配分する
 allude[動],ほのめかす、暗に示す
 aloof[形],よそよそしい、親しみのない、距離を置いた
 amass[動],蓄積する、集める
 ambient[形],周囲の、環境の
 ambiguous[形],曖昧な、不明瞭な、どちらともとれる
 ambivalence[名],相反する感情、ためらい
 ambivalent[形],どっちつかずの気持ちを抱いている、どちらか決めかねている
 ambush[動],待ち伏せて急襲する
 ambush[名],待ち伏せ、奇襲
 ameliorate[動],改善する
 amenable[形],従順な
 amend[動],（法律などを）修正する
 amendment[名],改正、修正、修正条項
 amenity[名],生活を快適にする施設/環境、アメニティ、快適さ
 amicable[形],友好的な
 amid[前],～のただ中に、～の真ん中に
 amity[名],友好、親善
 ammunition[名],弾丸、弾薬、論拠となる情報
 amnesty[名],恩赦
ample[形],豊富な、十分すぎるほどの
 amplify[動],詳しく述べる
 anachronism[名],時代錯誤、時代遅れ（の人/物）
 analogous[形],類似した
 anatomy[名],（生物の）生体構造、解剖学的構造、組織
 anemic[形],貧血（症）の、元気のない、無気力な
 angst[名],不安、懸念
 animosity[名],敵意、憎悪
 annex[動],併合する、付け加える
 annihilate[動],全滅させる、完全に破壊する
 annihilation[名],絶滅、せん滅
 annotate[動],（本などに）注釈をつける
 annotation[名],注釈
 annulment[名],取り消し、無効の宣告
 anoint[動],指名する
 anoint[動],軟膏を塗る
 anomaly[名],異例な物（人）、破格、例外
 anonymous[形],匿名の
 antagonistic[形],敵対する、対立する
 antagonize[動],～の反感を買う、～を苛立たせる
 antibiotic[名],抗生物質
 antipathy[名],嫌悪、反感
 apathetic[形],無関心な、感情のない、冷淡な
 apathy[名],無感動、無関心
 apex[名],頂点、頂上、先端
 appalled[形],唖然としている、愕然としている
 appease[動],なだめる、鎮める、和らげる
 append[動],つけ加える、付け足す
 appraise[動],評価する、値を付ける
 apprehend[動],逮捕する
 aptitude[名],才能、適性
 arbitrary[形],任意の、恣意的な、気まぐれな
 arbitrate[動],仲裁する
 archaeologist[名],考古学者
 archaic[形],古語の、古めかしい、古代の
 archipelago[名],群島、諸島
 ardor[名],熱心、熱意
 arduous[形],骨の折れる、難儀な、つらい
 arid[形],乾燥した、不毛の、（話などが）つまらない
 array[名],配列、隊列
 arrears[名],滞納金、未払い金
 arrogant[形],横柄な、無礼な、傲慢な
 articulate[形],(人が）明瞭に話す能力がある、はっきりと発音された、(意味などが）はっきりと伝わる
 artifact[名],人工物、工芸品、加工品、人工遺物
 ascension[名],上昇、即位
 ascetic[形],禁欲的な、禁欲主義の
 askew[形],斜めに、傾いて、間違って
 assail[動],襲撃する、責め立てる、悩ませる
 assault[動],暴行する、襲撃する
 assertive[形],断言的な、断定的な
 assessment[名],評価、査定、（環境などの）アセスメント
 asset[名],資産、財産
 assiduous[形],根気強い
 assimilate[動],同化する、吸収する
 assuage[動],（苦痛・不安などを）和らげる、緩和する
 astound[動],仰天させる、がくぜんとさせる
 asylum[名],亡命、庇護、保護施設
 atrocity[名],残虐、非道、残虐行為
 attenuate[動],低くする、弱める
 attic[名],屋根裏部屋
 attire[名],服装
attribute ～ to …,～の原因を…に帰する
 attribute[名],特性、属性
 attrition[名],（人員などの）自然減、磨滅、消耗
 auditorium[名],講堂、大講義室、公会堂
 augment[動],（～を）増やす、増補する
 auspice[名],保護、援助、後援
 austere[形],厳粛な、簡素な、質素な
 authentic[形],真正な、本物の
 authoritative[形],権威のある、信頼できる
 autism[名],自閉症
 autonomy[名],自治、自治権、自主性
 autopsy[名],検死
 auxiliary[形],補助の、付加的な、援助の
 averse[形],嫌って、反対して
 avert[動],防ぐ、避ける、（目などを）そむける
 avid[形],熱心な、熱烈な
 axis[名],軸、軸線
 backlash[名],反動、反発、反感
 backlog[名],未処理の仕事、在庫
 baffle[動],困惑させる
 bail[名],保釈、保釈金
 balance[名],（銀行の）残高
balk at ～,～をためらう
 ballot[名],票、投票、投票用紙
 banal[形],ありふれた、陳腐な
 banish[動],追放する、追い払う
 bankruptcy[名],破産、倒産
 barrage[名],集中砲火
 barren[形],（土地が）不毛の、(動物が)不妊の
bear/take the brunt of ～,~の矢面に立つ
 beckon[動],手招きする、合図する、招き寄せる
 bedraggled[形],みすぼらしい、ぐしょぐしょに濡れた/汚れた
 belittle[動],見くびる、軽視する
 bellicose[形],好戦的な、けんか腰の
 belligerent[形],好戦的な、交戦中の
 bellow[動],怒鳴る、大声で鳴く
 benchmark[名],尺度、基準、水準点
 benediction[名],祝福、感謝の祈り
 beneficiary[名],（保険、年金など）受取人、恩恵を受ける人
benevolently[副],情け深く、慈悲深く
 benign[形],（腫瘍などが）良性の
 benign[形],優しい、温和な
 bent[名],素質、才能、性向
 bent[形],曲がっている、湾曲した、ねじれた
 berate[動],叱る、咎める
bereave ～ of …,～から… を奪う
 bereaved[形],死別された、先立たれた
 berserk[形],荒れ狂った、狂暴な
 besiege[動],包囲する、包囲攻撃する
 bestow[動],与える、授ける
 bewitched[形],魅了された、とりこになった
 bias[名],偏見、先入観
 bicker[動],（ささいなことで）口論する
 bigot[名],偏狭な人、頑固者、排他的な人
 billow[動],大きく波うつ、（帆などが）膨らむ
 bionic[形],生体工学の、超人的な
 bizarre[形],風変りな、異様な
 bland[形],薄味の、穏やかな、温和な、面白みのない
 blatantly[副],あからさまに、露骨に
 bleak[形],暗い、希望のない、寒々しい、荒れはてた
 blink[動],まばたきする
 blissful[形],至福の
 bluff[動],はったりをかける、だます
 blunder[名],大失敗
 bluntly[副],ぶっきらぼうに、無遠慮に、単刀直入に
 blur[動],ぼやかす、ぼかす
 blurt[動],うっかり口にする
 bogus[形],にせの、いんちきの
 bolster[動],元気付ける、高める、強化する
 bombard[動],攻め立てる、を砲撃する、(質問などを)浴びせる
 boon[名],恩恵、恵み
 bountiful[形],豊富な、物惜しみしない
 bounty[名],（自然の）恵み、報奨金
 bout[名],（病気、不快の）一時的な期間、発作
 brag[動],自慢する
 brandish[動],見せびらかす、誇示する、（威嚇のために）振りかざす
 brash[形],不作法な、厚かましい、生意気な
 brazen[形],ずうずうしい、厚かましい
 breach[動],（壁などを）破壊する、（規則などを）破る
 breakthrough[名],飛躍的進歩、躍進
 brevity[名],（表現などの）簡潔さ、短さ
 bridle[動],（怒りを表すために）つんとする
 brink[名],縁、際、間際
 broach[動],（話題などを）を切り出す
 bucolic[形],田舎の
 buffer[名],緩衝物
 bulge[動],膨れる、膨らむ
 bungle[動],しくじる、へまをする
 bungling[形],手際の悪い、へまな
 bunker[名],（ゴルフの）バンカー、燃料置場、掩蔽壕（えんぺいごう）（※地下にある兵士の避難所）
 buoyant[形],浮揚性の、浮力がある
 burgeon[動],急増する、急成長する
 burnished[形],磨き上げられた、つやのある
 cagey[形],話したがらない
 cajole[動],言いくるめる、おだてて丸め込む
 calamity[名],災難、災害
 caliber[名],器量、力量、銃の口径
 calibration[名],較正、キャリブレーション
 camaraderie[名],友愛、仲間意識
 candid[形],包み隠しのない、率直な、公平な
 candor[名],素直さ、誠実さ、公平
 canvass[動],（支持など）を求める、遊説する
 capricious[形],気まぐれな、移り気な
 captivation[名],魅力、魅惑
 captive[形],捕らわれた、捕獲された
 cardinal[形],主要な、基本的な
 cardiovascular[形],心臓血管の
 caricature[名],風刺画、風刺文
 carnivorous[形],肉食性の
 carve[動],彫る、刻む
 catalyst[名],触媒
 catastrophe[名],破滅的状況、大惨事、大災害
 catastrophically[形],壊滅的に、恐ろしいまでに
 caustic[形],手厳しい、辛辣な
 cavalier[形],思慮に欠ける、軽率な、無頓着な
 cavernous[形],洞窟のような
 cease[動],中止する、終わる
 celibate[形],独身主義の、禁欲主義の
 censure[名],非難、不信任
 cerebral[形],知性の、脳の
 certitude[名],確信、確実性
 chafe[動],いら立つ
 chant[動],詠唱する
 chaotic[形],混沌とした、無秩序な
 charade[名],謎解き、言葉当て遊び、見せかけ、見え透いたごまかし
 cherish[動],心に抱く、大事にする
 chisel[動],のみで彫る
 chore[名],雑用
 chronic[形],慢性の、慢性的な
 chronicle[動],年代記に記録する
 chronicle[名],年代記、記録
 chuckle[動],くすくす笑う
 chunky[形],分厚い、重厚な、塊の
 churn[動],攪拌する
 cinch[名],簡単なこと
 cipher[名],暗号、暗号文書
 circulate[動],広まる、配布される、循環する
 circumlocution[名],回りくどい表現、遠回しな言い方
 circumvent[動],回避する
claim[動],要求する、言い張る、主張する
 clairvoyant[形],千里眼の、透視力を持つ
 clarify[動],明らかにする
 classified[形],機密扱いの
 clemency[名],寛大さ、慈悲
 clique[名],小集団、派閥
 clobber[動],ひどく負かす、酷評する
 clump[動],群れをなす、重い足取りで歩く
 clumsy[形],下手な、不器用な、ぎこちない
 cluster[名],集団、束
 clutter[動],散らかす
 coalition[名],有志連合、（政党などの）連立
 coarse[形],きめの粗い、ざらざらした、粗野な
 coerce[動],強要する
 cogitate[動],熟考する
 cognition[名],認識、認知
 cognitive[形],認知の、認知に関する
 coherent[形],首尾一貫した、理路整然とした
 cohesive[形],結合力のある、粘着する
 coin[動],造語する、鋳造する
 coincidence[名],（偶然の）一致、同時発生
 collaborate[動],協力する、共同する
 collateral[名],担保（物件）
 collation[名],照合作業、（書物の）ページ合わせ
 collision[名],衝突、対立
 coma[名],こん睡状態
 combustion[名],燃焼
 commence[動],開始する
 commend[動],ほめる、推奨する
 commiserate[動],同情する、哀れむ
 commitment[名],傾倒、献身、約束
 commodity[名],商品、日用品、産物
 commonplace[形],平凡な、ありふれた
 commotion[名],騒動、動揺
 communal[形],共同の、公共の、共同社会の
 commutation[名],減刑
 compassion[名],同情、あわれみ
 compatible[形],互換性がある、両立可能な
 compile[動],編集する、編纂する
 complex[名],複合体、複合施設、総合ビル
 compliance[名],追従、順守
 complimentary[形],優待の、無料の
 composure[名],落ち着き、平静
 comprehensive[形],包括的な、広範囲な
 comprise[動],（～から）成る、（～を）包含する、（～を）構成する
 compunction[名],良心の呵責
 conceal[動],隠す、隠ぺいする
 concede[動],譲歩する、（しぶしぶ）認める
 conceit[名],うぬぼれ
 concession[名],譲歩
 concoct[動],（飲食物などを）混ぜ合わせて作る、企てる
 concur[動],賛成する、同時に起こる
 concussion[名],脳震とう
 condemnation[名],（激しい）非難
 condescending[形],人を見下すような、いばった、偉そうな
 condescension[名],見下し、偉そうな態度
 condiment[名],薬味、香辛料
 condolence[名],弔意、悔やみ、哀悼の辞
 condone[動],許す、大目に見る
 conducive[形],助けとなる、貢献する
 confer[動],授与する、授ける、話し合う、協議する
 confidential[形],機密の、マル秘の
 configuration[名],配置、形状、配列
 confinement[名],監禁、制限
 confiscation[名],没収
 conflate[動],合成する、まとめる
 conformist[名],（習慣・体制に）従う人
 confound[動],当惑させる、混乱させる
 confrontational[形],対立的な
 conglomerate[名],複合企業
 congregate[動],集まる、集合する、召集する
 conjecture[名],推測
 conjugate[動],（動詞）を活用させる、変化させる
 connive[動],共謀する
 connotation[名],言外の意味、含蓄
 conscience[名],良心、分別
 conscription[名],徴兵制
 consecration[名],聖職叙任式
 consequently[副],その結果として
 consolidate[動],強固にする、統合する
 consort[動],付き合う、一致する
 consort[名],（王国・女王などの）配偶者
 consortium[名],共同企業体、合弁企業
 conspicuous[形],人目を引く、目立つ
 conspiracy[名],陰謀、共謀
 constituency[名],有権者、選挙区
 constitutional[形],憲法上の
 constrain[動],抑制する、を強いる
 constriction[名],締めつけ
 consummate[形],完成された
 contagious[形],接触伝染性の、伝染しやすい
 contaminate[動],汚染する
 contamination[名],汚染
 contemplate[動],熟考する
 contemplative[形],めい想的な
 contemporary[形],現代の、現代的な
 contend[動],主張する、争う
 contiguous[形],隣接した
 contingency[名],不測の事態、偶発事故
 contraband[名],密輸品
contradict[動],矛盾する、否定する、反論する
 contradictory[形],矛盾した
 contraption[名],（機械の）新案、工夫
 contrivance[名],計略、考案物
 contrive[動],を考え出す、を発明する
 contrived[形],不自然な、わざとらしい
 controversial[形],物議を呼ぶ、議論の余地のある
 conventional[形],伝統的な、因習的な、従来の
 converge[動],収束する
 convergence[名],集中、収束
 conversion[名],転換、改宗、換算
 convict[動],有罪を宣告する
 conviction[名],確信、有罪判決
 conviviality[名],陽気な行動、にぎやかさ
 convoluted[形],（議論などが）複雑な、渦巻き状の
 cordial[形],思いやりのある、心からの
 correlation[名],相互（相関）関係、相関性
 corrode[動],腐蝕させる
 corrosive[形],腐食性の、浸食する、むしばむ
 cortex[名],皮質
 counterfeit[名],偽造、贋作
 counterfeit[形],偽造の
 counterfeiter[名],偽造者
 counterpart[名],相当/対応する物（人）
 countless[形],無数の、数え切れない
 courier[名],運搬人、急送便会社（業者）
 coverage[名],取材、報道
 covert[形],隠された、内密の
 cozy[形],居心地のよい
 crabby[形],気難しい、不機嫌な
 crackdown[名],取り締まり
 cramp[名],痙攣、（足の）つり、急激な腹痛
 cranky[形],いらいらした、機嫌の悪い、変人の
 craze[名],熱狂的な流行
 credibility[名],信用できること、信頼性
 credulity[名],すぐに信じ込む性質、だまされやすいこと
 creed[名],（宗教上の）信条
 crest[名],頂上、鳥のとさか、紋章
 cripple[動],肢体を不自由にする
 criterion[名],基準、尺度
 critical[形],重大な、決定的な、危機的な、
 crucial[形],重要な、決定的な
 crude[形],天然の、未精製の、粗雑な
 cryptic[形],暗号の、秘密の、謎めいた
 culpability[名],過失の原因、責任、罪
 culpable[形],有罪の、避難に値する
 culprit[名],原因（となるもの）、犯人
 cumulative[形],累積の、累積的な
 curb[動],抑える、抑制する
 curfew[名],門限
 cursory[形],大まかな、せっかちの、ぞんざいな
 curtail[動],削減する、短縮する、制限する、切り詰める
 curtly[副],ぶっきらぼうに、そっけなく
 custody[名],養育権、保護、拘留
 dainty[形],上品な、優美な、きゃしゃな
 dangle[動],ぶら下がる、垂れる
 dank[形],じめじめした、湿っぽくて寒い
 dart[動],突進する、投げる
 daunting[形],手ごわい、困難な
 dawdle[動],ぐずぐずする、時間を無駄に過ごす
 dazzle[動],の目をくらませる
 de facto[形],事実上の
 deadlock[名],行き詰まり
 dearth[名],不足、欠乏
 debar[動],締め出す、禁ずる
 debit[動],（金額などを）引き落とす
 debrief[動],結果を聞く、報告を受ける
 debris[名],がれき、破片、残骸、がらくた
 debtor[名],負債者、借金をしている人
 debunk[動],誤りを暴く、誤りを証明する
 decant[動],（ワインなどを）別の容器へ注ぐ
 decay[動],腐る、荒廃する、衰える
 deceased[形],死んだ
 decent[形],そこそこの、まともな、上品な
 deceptive[形],人を誤らせる、誤解を招くような
 decipher[動],解読する、判読する
 decor[名],装飾（様式）
 decree[動],（法令として）布告する、命じる
 decree[名],法令、布告
 decrepit[形],老いぼれた、老衰した
 decry[動],公然と非難する
 deduce[動],推定する、推論する、演繹する
 deduction[名],推論、演繹
 deem[動],～と見なす、～と考える
 deface[動],（表面を）汚す
 defamatory[形],中傷的な、名誉毀損の
 defame[動],中傷する
 defector[名],亡命者、離反者、脱党者
 defer[動],延期する
 deference[名],服従、敬意、尊敬
 deferential[名],敬意を表する
 deferment[名],延期
 defiance[名],挑戦、反逆、反抗
 deficiency[名],不足、欠乏
 deficit[名],赤字
 deflect[動],～をそらす、～の方向を変える
 defraud[動],だまし取る
 defunct[形],機能していない、現存しない
 defuse[動],信管を抜き取る、（～の）危険を取り除く、（～の）緊張をやわらげる
 defy[動],無視する、ものともしない
degrade[動],価値を下げる、地位を落とす、解体させる
 delectable[形],おいしい
 delegate[動],（権限や仕事を）委任する、任せる
 delegation[名],代表団、使節、派遣団
 deliberation[名],熟考
 delineate[動],くわしく説明する、輪郭を描く、描写する
 delinquent[形],非行の、義務不履行の
 deluge[名],洪水
 delusion[名],妄想
 demean[動],品位を下げる
 demeanor[名],態度、振る舞い
 demise[名],消滅、死去、終焉
 demographic[形],人口統計（学）の
 demolition[名],破壊、解体
 demoralized[形],意気消沈した
 demote[動],降格させる
 demur[動],demur
 den[名],書斎、私室、（動物の）巣（穴）、ねぐら
 denigrate[動],中傷する、侮辱する
 denote[動],示す、意味する、～の印である
 denounce[動],非難する
 dense[形],密集した、密度の高い、濃い
 depict[動],描く、描写する
 depiction[名],描写
 deplete[動],（資源などを）消耗する、使い果たす
 depletion[名],枯渇、減少
 deploy[動],配置する、配備する
 deportation[名],（外国人の）国外退去、本国送還
 deprecate[動],とがめる、軽んじる
 deprivation[名],剥奪、欠乏
 deputy[名],代理（人）、副官
 deregulate[動],（規制などを）撤廃する、自由化する
 derelict[名],遺棄物、社会的な落伍者
 deride[動],あざ笑う、ばかにする
 derive[動],（化合物を）抽出する、引き出す
 descendant[名],子孫、末裔
 desolate[形],荒廃した、不毛の
 despicable[形],いやしむべき
 destined[形],運命づけられた
 desultory[形],とりとめのない、散漫な
 detain[動],拘束する、引き留める
 detect[動],見つける、検出する、発見する
 detention[名],拘留、居残り
 deter[動],抑制する、抑止する、思いとどまらせる
 deteriorate[動],悪化する、悪化させる
 detest[動],嫌う
 detonate[動],爆発させる、起爆する
 detour[名],回り道、う回路
 detract[動],（価値などを）損なう、おとしめる
 detrimental[形],有害な、不利益の
 devastate[動],困惑させる、打ちのめす、荒廃させる
 devastation[名],破壊、荒廃
 deviate[動],（～から）逸脱する
 deviation[名],脱線、逸脱、偏差
 devious[形],遠回りの、曲がりくねった、遠隔の
 diagnose[動],（病気などを）診断する
 diagnosis[名],診断、分析
 diameter[名],直径
 diatribe[名],痛烈な非難
 dice[動],さいの目に切る
 dictate[動],指図する、書き取らせる
 diffuse[動],散らす、拡散する
 digression[名],（話などが）本題からそれること
 dilate[動],広がる
 dimension[名],側面、特質、次元
 diminish[動],減らす、小さくする
 diminutive[形],小さい、小柄の、ちっぽけな
 din[名],騒音
 disarmament[名],軍備縮小
 disavow[動],disavow
 disband[動],解体する、解散する
 discard[動],捨てる、廃棄する
 discern[動],見分ける、識別する
 discernible[形],認められる、識別できる
 discerning[形],明敏な、洞察力のある
 discharge[動],放出する
 disciplinary[形],訓練の
 disconcerting[形],当惑されるような、厄介な
 discontent[名],不満
 discourse[名],会話、講演、論文
 discredit[動],の信用を傷つける
 discreet[形],思慮分別のある、慎重な
 discrepancy[名],食い違い、不一致、相違
 disdain[動],軽蔑する、見下す
 disguise[動],変装させる、隠す
 disguise[名],変装
 disgust[名],嫌悪、反感
 dismal[形],陰気な、憂うつな
 dismantle[動],（機械などを）分解する
 dismiss[動],解散させる、散会させる
 dismissive[形],尊大な、軽蔑的な
 disoriented[形],方向がわからなくなった、頭が混乱した、道に迷って
 disparate[形],異質の、本質的に異なる
 disparity[名],相違
 dispatch[動],派遣する
 dispel[動],追い散らす、払い去る
 dispensable[形],たいして重要でない、なくても困らない
 dispensation[名],分配、施し、(分配の)制度/システム
 disperse[動],分散させる、追い散らす
 dispirited[形],意気消沈した
 displace[動],立ち退かせる、置き換える、取って代わる
 disposal[名],処分、処理、売却
 disposition[名],（人の）性質、気質、傾向
 disproportionately[副],過度に、非常に、不釣り合いに
 dispute[名],論争
 disrupt[動],破壊する、混乱させる、妨害する
 dissect[動],解剖する、切断する
 dissemble[動],（感情/本心などを）隠す、ふりをする
 disseminate[動],広める、流布させる
 dissension[名],意見の衝突、不和
 dissent[名],異議
 dissenting[形],異議のある、反対意見の
 dissertation[名],学位（博士）論文
 dissident[名],反体制派（の人）
 dissipate[動],散らす、追い払う
 dissolution[名],消滅、分解、溶解
 dissuade[動],説得して思いとどまらせる
 distend[動],膨らむ、膨らませる
 distinct[形],明らかに異なる、独特の
 distort[動],ゆがめる、ねじる
 distractedly[副],うわの空で
 distressing[形],悲惨な、苦悩に満ちた
 ditch[動],捨てる、溝に落とす、溝を掘る
 ditch[名],溝
 diverge[動],分かれる、分岐する、発散する
 diverse[形],多様な
 diversify[動],多様化する、多角化する
 diversion[名],迂回路、(進路などの)転換、気晴らし
 diversity[名],多様性
 divert[動],（注意などを）そらす
 dividend[名],配当、分け前
 divine[形],神聖な
 divulgence[名],暴露
 docile[形],柔順な
 dog[動],つきまとう
 dogmatic[形],独断的な、教義上の
 doomed[形],運命づけられた
 dormant[形],（火山が）活動休止中の、休眠中の
 downplay[動],重要視しない
 drab[形],（色が）くすんだ、地味な
 drag[動],引きずる、のろのろと動く
 drain[動],（液体を）流出させる、力を消耗させる
 drain[名],下水、排水
 drastically[副],思い切って、徹底的に
 drawback[名],欠点、難点
 dreary[形],退屈な、ものわびしい
 dredge[動],浚渫する、浚渫機でさらう
 dribble[動],したたらせる、ドリブルする
 droll[形],ひょうきんな
 drool[動],よだれを垂らす
 dub[動],（人にあだ名を）付ける、（人をあだ名で）呼ぶ
 dub[動],（映画などを）吹き替える、音響効果を加える、ダビングする
 dubious[形],疑わしい、いかがわしい
 due[名],会費
 dump[動],（ごみなど）をまとめて捨てる
 dupe[動],だます
 duplicate[動],複製する、複写する
 duplicity[名],二枚舌
 durability[名],耐久性（力）
 duration[名],継続、持続、継続時間（期間）
 dutifully[副],忠実に、従順に
 dwindle[動],徐々に縮小/減少する、だんだん衰える
 dynasty[名],王家、王朝
 ebb[名],引き潮
 ebullience[名],情熱、元気
 echelon[名],地位、（組織などの）階層
 eclipse[動],影を薄くさせる、（ほかの天体）を食にする
 ecstatic[形],恍惚とした、有頂天になった、熱狂的な
 edible[形],食べられる、食用の
 efficacious[形],効果のある
 efficacy[名],効き目、効能
 effigy[名],像、肖像
 elaborate[動],念入りに作る
 elaborate[形],手の込んだ、入念な
 elated[形],有頂天の、大得意の
 electoral[形],選挙の
 elevation[名],高さ、上昇
 elicit[動],引き出す、喚起する、聞き出す
 eligible[形],適格な、資格がある
 elimination[名],除去
 elocution[名],雄弁術、演説法
 elongate[動],長くする
 eloquent[形],雄弁な、説得力のある
 elucidate[動],を明らかにする、解明する
 elusive[形],理解しにくい、捕えにくい、逃げる
 emaciated[形],やつれた、やせ細った
 emancipate[動],～を解放する
 embargo[名],（輸出入などの）禁止措置
 embark[動],乗り出す、着手する
 embed[動],埋め込む、（心、記憶に）刻み込む
 embedded[形],埋め込まれた
 embellish[動],飾る、美しくする
 ember[名],残り火、燃えさし
 embezzle[動],横領する、使い込む
 embitter[動],〜に辛い思いをさせる、〜を悲しませる
 embody[動],具現化する
 embolden[動],励ます、大胆にする
 embrace[動],抱擁する、（考えなどを）受け入れる、（中に）含む
 embryo[名],胚
 emigrate[動],（他国へ）移住する
eminence[名],（身分などの）高位、高貴
 empathic[形],共感を呼ぶ
 empathize[動],共感する
 empirically[副],実験結果に基づき
 empower[動],力をつける、権限を与える、自信を持たせる
 emulate[動],見習う、手本にする
 enact[動],（法律などを）制定する
 enamored[形],魅了された
 encapsulate[動],(カプセルに)包む、要約する
 enchant[動],魅了する
 encompass[動],を含む、包含する、を取り囲む
 encrypt[動],暗号化する
 encumber[動],妨げる
