(be) subject to ～,～を受けやすい、～に陥りやすい
 abandon[動],断念する、捨てる、見捨てる
 abolish[動],廃止する、なくす
 abortion[名],妊娠中絶
 abound[動],たくさんある（いる）、あふれている
 abridged[形],要約された、短縮された
 abruptly[副],不意に、突然
 absorb[動],吸収する
abstain from ～,～を慎む、控える
 abstract[動],〜を取り除く、取り去る
 abstract[形],抽象的な
 absurd[形],ばかげた、道理に合わない
 abundant[形],豊富な、十分な
 abuse[動],乱用する、虐待する
 accelerate[動],加速させる、促進する
 acceptance[名],承諾、引き受け、容認
 access[名],接近（方法）、入手/利用する機会
 accidentally[副],誤って、偶然に
 accommodate[動],（ホテル/施設が）～を収容する、収容能力がある
 accompany[動],付き添う、同行する、添付する
accord with ～,～に一致する、～と調和する
 accord[動],（許可などを）与える
 accord[名],一致
 accreditation[名],認可、公認、認定
 accumulate[動],蓄積する、積み上げる
 accusation[名],告発
 acid[名],酸
 acid[形],酸性の
 acknowledge[動],認める、認識する
 acoustic[形],聴覚の、音響（学）の
acquaint ～ with …,～に…を知らせる
 acquire[動],習得する、獲得する、手に入れる
acquit ～ of …,～を…について無罪とする、～を…の義務から解放する
 activate[動],活性化する、作動させる
 activist[名],（政治的な）活動家、運動家
 acute[形],（痛みが）鋭い、急性の、(事態が）深刻な、重大な
adapt to ～,～に適応する、適応させる
 adapt[動],適応する、適応させる
 addiction[名],（薬物への）依存、中毒
 addictive[形],中毒性のある、習慣性のある
 additive[名],（食品などの）添加物
 address[動],～（問題など）に取り組む/対処する、～（問題など）を取り扱う
 adequate[形],十分な、適切な
 adhesive[形],粘着性のある
 adjacent[形],近くの、（～に）隣接した (to ～)
 adjoining[形],隣の
 adjust[動],調整する、順応する、適応する
 administer[動],管理する、運営する
 administration[名],管理、経営、政権
 admiration[名],賞賛、感嘆
 admission[名],入場（料）、入会（料金）、入学（許可）
 admittedly[副],誰もが認めるように、確かに、なるほど
 admonish[動],～に忠告する、～を諭す
 adolescent[名],若者、青年
 adolescent[形],青年期の、思春期の
 adopt[動],採用する、導入する
 adorable[形],愛らしい、魅力的な
 advanced[形],進んだ、進歩した、上級の
 adverse[形],有害な、不利な、敵対する、逆方向の
 advocate[動],提唱する、支持する、推奨する、弁護する
 advocate[名],提唱者、支持者、弁護人
 affiliate[動],提携する、提携させる
 affirmation[名],肯定、断言、確約
 afflicted[形],苦しんでいる、苦しめられた
 affluent[形],裕福な、豊富な
 agenda[名],議事、議題、議事日程
 aggravate[動],悪化させる、悩ませる
 aggressive[形],攻撃的な、押しの強い
 agitate[動],扇動する、動揺させる
 agricultural[形],農業の
 alert[動],注意を喚起する、警告する
 alert[形],警戒して、油断のない、注意を怠らない
 alien[形],外国（人）の、異質の
 alienate[動],遠ざける、無視する、疎外する
 alimony[名],扶養料、別居/離婚手当
 allege[動],主張する、断言する、申し立てる
 alleviate[動],（苦痛などを）軽減する、和らげる
 alliance[名],同盟、提携
 allocate[動],割り当てる、配分する
 allowance[名],こづかい、手当
 alongside[前],〜と一緒に、同時に、と並行して
 alter[動],変える、変更する
 alteration[名],変更、修正
 alternate[動],交互に行う、交互に入れ替える
 alternate[形],代替の、交互の
 alternative[名],代替物、代替手段、代案
 alternative[形],代わりの、代替の、二者択一の
 altitude[名],高度、標高
 ambiguous[形],曖昧な、不明瞭な、どちらともとれる
 amend[動],（法律などを）修正する
 amendment[名],改正、修正、修正条項
 amenity[名],生活を快適にする施設/環境、アメニティ、快適さ
 amicable[形],友好的な
 ammunition[名],弾丸、弾薬、論拠となる情報
 amnesty[名],恩赦
 amplify[動],増幅する、拡大する
 analogy[名],例え、類似点、類推
 analyze[動],分析する
 anatomy[名],（生物の）生体構造、解剖学的構造、組織
 ancestor[名],祖先、先祖
ancient[形],古代の、大昔の
 anecdote[名],逸話
 annotation[名],注釈
 annoyance[名],いらいら、頭痛の種
 annual[形],年次の、毎年の、年に1回の
 anonymity[名],匿名、匿名性
 anonymous[形],匿名の
 anthem[名],賛歌、祝歌
 anthropologist[名],人類学者
 antibiotic[名],抗生物質
 antiquity[名],古代、遺物、遺跡
 apparent[形],明らかな、明白な、はっきりした
 apparently[副],外見上、見たところでは、明らかに
 applaud[動],拍手喝采する、称賛する
 appliance[名],（家庭用の）器具、電化製品
 applicable[形],適用される
 applicant[名],応募者、志願者
 application[名],申し込み、応募、出願、申請
 appreciate[動],感謝する、～をありがたく思う
 apprehension[名],懸念、心配
 apprentice[名],見習い、実習生
 appropriate[形],適切な、ふさわしい
 approve[動],承認する、了承する
 approximately[副],およそ、約～
 aptitude[名],才能、適性
 aquatic[形],水生の、水中の
 arc[名],弧、円弧
 archaeologist[名],考古学者
 architect[名],建築家、建築士
 archive[動],（文書などを）アーカイブに保管する
 archive[名],公文書、記録、記録保管所
 Arctic[形],北極の
 argument[名],議論、口論、主張
 arid[形],乾燥した、不毛の、（話などが）つまらない
 arise[動],生じる、起こる
 aristocrat[名],貴族
 arouse[動],喚起する、かき立てる
 array[名],配列、隊列
 arrogant[形],横柄な、無礼な、傲慢な
 articulate[形],(人が）明瞭に話す能力がある、はっきりと発音された、(意味などが）はっきりと伝わる
 artifact[名],人工物、工芸品、加工品、人工遺物
 artificial[形],人工の、人工的な
 ascent[名],昇ること、上昇、昇進
 aspire[動],熱望する
 assault[動],暴行する、襲撃する
 assemble[動],組み立てる、集める
 assess[動],評価する、査定する
 assessment[名],評価、査定、（環境などの）アセスメント
 asset[名],資産、財産
 assignment[名],（任務などの）割り当て、課題、宿題
 assimilate[動],同化する、吸収する
 assistance[名],補助、援助、助力
 associate[動],関連づける、結び付けて考える、連想する
 associate[形],補助の、副〜
 assume[動],推定する、想定する、みなす、思い込む
 assumption[名],仮定、想定、憶説、前提
 assure[動],保証する、請け合う
 astronomer[名],天文学者
 atmosphere[名],雰囲気
 atmosphere[名],大気、大気圏
 attendant[名],添乗員、随行員、接客係
 attentive[形],注意深い、注意をはらっている
 attorney[名],弁護士、法定代理人
 attractive[形],魅力的な
 audible[形],聞こえる、聞き取れる
 auditor[名],（大学の）聴講生、会計検査官
 authentic[形],真正な、本物の
 authorize[動],公認する、権限を与える
 autobiography[名],自叙伝
 autograph[名],サイン、自筆
 autonomy[名],自治、自治権、自主性
avail ～ nothing,～にとって役に立たない
 availability[名],利用（入手）できること、（人の）手が空いている状態
 avoidance[名],回避、回避すること
 awareness[名],気づいていること、認識
 awkward[形],不格好な、ぎこちない、気まずい
 axis[名],軸、軸線
 backbone[名],背骨、支柱、重要な要素
 backtrack[動],来た道を引き返す
 bait[名],（釣り針に付ける）餌
 ballot[名],票、投票、投票用紙
 ban[動],禁止する
 ban[名],禁止、禁止令
 banish[動],追放する、追い払う
 bankrupt[形],破産した
 barbarian[名],野蛮人
 barely[副],ほとんど～ない、かろうじて
 bargain[名],掘り出し物、お買い得品
 barn[名],納屋、家畜小屋
 barren[形],（土地が）不毛の、(動物が)不妊の
 barricade[名],バリケード、障害物
 baseline[名],基底線、基準線、基準値
 batter[動],繰り返し殴る
 beam[動],ほほえむ、（光、電波などを）発する
 bearable[形],耐えられる、我慢できる
 behavioral[形],行動の、行動に関する
 beneficial[形],有益な、役に立つ
 beneficiary[名],（保険、年金など）受取人、恩恵を受ける人
 betray[動],裏切る、だます、（秘密などを）漏らす
 bewilder[動],当惑させる、困惑させる
biased[形],偏見のある、先入観を持った
 bid[動],入札する
 binding[形],拘束力のある
 biological[形],生物学（上）の
 bizarre[形],風変りな、異様な
 blaze[名],炎、火炎
 bleak[形],暗い、希望のない、寒々しい、荒れはてた
 blink[動],まばたきする
 blissfully[副],この上なく幸せに
 blockade[名],封鎖
 blow[名],強打、殴打、打撃
 blunder[名],大失敗
 boast[動],自慢する、誇る
 bond[名],きずな、結び付き
 boom[名],（経済の）急成長、人気、（爆発などの）とどろき、ブーム
 boost[動],上昇させる、高める、促進する
 boost[名],押し上げ、（金額などの）上昇
 botanical[形],植物の、植物学の
 botany[名],植物学
 bounce[動],はずむ、跳ねあがる
 boundary[名],境界
 boundless[形],無限の、広大な
 bountiful[形],豊富な、物惜しみしない
 brand[動],烙印を押す
 brand[名],ブランド、銘柄
 bravery[名],勇敢さ
 breach[動],（壁などを）破壊する、（規則などを）破る
 breach[名],（約策、契約などの）違反、不履行
 breadth[名],幅、広がり
 breakout[名],脱走、逃亡、突発的な発生
 breakthrough[名],飛躍的進歩、躍進
 breed[動],飼育する、繁殖させる
 breed[名],品種、（動、植物の）種類
 bribe[動],買収する、賄賂を贈る
 bribe[名],賄賂
 brilliant[形],輝きのある、頭の切れる、素晴らしい
 brisk[形],きびきびした、活気のある
 brochure[名],小冊子、パンフレット
 broker[動],仲介する
 broker[名],仲介業者、ブローカー
 browse[動],拾い読みする、ぶらぶら商品を見てまわる
 brutal[形],残忍な、野蛮な
 budget[名],予算
 bulky[形],大きい、かさばる、扱いにくい
 bully[動],いじめる
 bully[名],いじめっ子
 bump[動],ぶつかる、ぶつける
 bundle[名],束、ひとかたまり
 burden[名],重荷、負担
 bureau[名],（官庁の）局
 burglary[名],住居侵入窃盗、押し込み
 burst[動],破裂する、爆発する
 burst[名],爆発、破裂
 bystander[名],傍観者、見物人
 calamity[名],災難、災害
 candid[形],包み隠しのない、率直な、公平な
 candidate[名],候補者
 capability[名],能力、才能
 capacity[名],容量、収容能力、生産能力
 capital[名],資本金、資本
 capital[名],首都、中心都市
 capsize[動],（船などが）転覆する、ひっくり返る
 caption[名],（写真などの）説明文、表題、見出し
 captive[形],捕らわれた、捕獲された
 captivity[名],捕らわれの身、隷属、拘留
 capture[動],捕獲する、捕まえる、記録する
 capture[名],捕獲
 carve[動],彫る、刻む
 casualty[名],犠牲者、死者
 catastrophe[名],破滅的状況、大惨事、大災害
 category[名],部類、範疇
 cater[動],（食事などを）まかなう、提供する、（要求に）応じる
 cautious[形],注意深い、慎重な
 celebrity[名],有名人、セレブ
 cell[名],細胞、小部屋、セル（電池の構成単位の1つ）
 censor[動],検閲する
 censorship[名],検閲
 census[名],人口調査、国勢調査
 centralize[動],中央集権化する、集中させる
 ceremonial[形],儀式の
 certify[動],証明する、保証する
 certitude[名],確信、確実性
 challenge[動],挑戦する、異議を唱える
 challenge[名],課題、難問、挑戦
 challenging[形],やりがいのある、困難な
 chancellor[名],(英)大臣、(米)学長、首相
 chaotic[形],混沌とした、無秩序な
 characteristic[名],特徴、特性
 characteristic[形],特徴のある、独特の
 charitable[形],慈善の、気前が良い
 checkup[名],健康診断、検査、点検
 chemical[名],化学物質（薬品）
 chemical[形],化学の
 cherish[動],心に抱く、大事にする
 choke[動],窒息させる、むせさせる、詰まらせる
 chore[名],雑用
 chronic[形],慢性の、慢性的な
 chronological[形],（情報の配列が）年代順の
 circuit[名],巡回、迂回、回路
 circulate[動],広まる、配布される、循環する
circulation[名],循環、流通、発行部数、（図書の）貸し出し（部数）
 cite[動],引用する、引き合いに出す、挙げる
 civilization[名],文明
 clarify[動],明らかにする
 clash[名],衝突、（意見などの）対立
 classified[形],機密扱いの
 classify[動],分類する
 clause[名],条項、(文中の)節
 clerical[形],事務の、事務職の
 climatic[形],気候の、風土の
 clinical[形],臨床の
 closure[名],閉鎖
 clue[名],手がかり、糸口、端緒
 clumsy[形],下手な、不器用な、ぎこちない
 clutch[動],ぐいとつかむ、握る
 coalition[名],有志連合、（政党などの）連立
 coarse[形],きめの粗い、ざらざらした、粗野な
 coauthor[名],共著者
 coexist[動],共存する
 cognitive[形],認知の、認知に関する
 coherent[形],首尾一貫した、理路整然とした
 coincide[動],一致する、同時に起こる
 coincidence[名],（偶然の）一致、同時発生
 collaborate[動],協力する、共同する
 collapse[動],崩壊する
 collapse[名],崩壊
 colleague[名],同僚
 collective[形],集団の、共同の
 collision[名],衝突、対立
 colonization[名],植民地化
 colonize[動],植民地化する、コロニーを作る
 combat[動],戦う
 combat[名],戦闘
 command[動],命ずる
 command[名],命令
 commemorate[動],記念する、祝う、追悼する
 commence[動],開始する
 commend[動],ほめる、推奨する
 commendable[形],賞賛されるべき、立派な
 commercial[名],コマーシャル
 commercial[形],商業の
 commission[名],委託、任務、委員会、手数料
 commit[動],（罪など）を犯す
 commitment[名],傾倒、献身、約束
 commodity[名],商品、日用品、産物
 communal[形],共同の、公共の、共同社会の
 commute[動],通勤（通学）する
 commute[名],通勤（通学）
 companion[名],仲間、相手、連れ
 comparable[形],匹敵する、同程度の
 compartment[名],（仕切った）一区画
 compassion[名],同情、あわれみ
 compelling[形],説得力のある、強制的な
 compensation[名],賠償、補償
 compete[動],競う
 competence[名],能力、資格
 competent[形],能力のある、適格な、満足な
 competitive[形],競争的な、競争力のある、競争の激しい
 compile[動],編集する、編纂する
 complacent[形],自己満足の
 complaint[名],不平、苦情、告訴
 completion[名],完了、終了
 complex[名],複合体、複合施設、総合ビル
 complex[形],複雑な、複合の
 compliance[名],追従、順守
 complicate[動],複雑にする
 complication[名],複雑、混乱、合併症
 compliment[動],褒める、称賛する
 compliment[名],賛辞、お世辞、褒め言葉
 complimentary[形],優待の、無料の
 component[名],構成要素、部品
 composed[形],落ち着いた
 composure[名],落ち着き、平静
 compound[名],複合物、化合物
 comprehensive[形],包括的な、広範囲な
 compression[名],圧縮
 comprise[動],（～から）成る、（～を）包含する、（～を）構成する
 compromise[名],妥協、歩み寄り
 compulsory[形],必修の、強制的な、義務の
 conceal[動],隠す、隠ぺいする
 concede[動],譲歩する、（しぶしぶ）認める
 conceivable[形],想像できる、あり得る
 concession[名],譲歩
 concise[形],簡潔な
 conclusive[形],決定的な、最終的な
 condemn[動],非難する
 condiment[名],薬味、香辛料
 conditional[形],条件付きの
 condolence[名],弔意、悔やみ、哀悼の辞
 confederation[名],同盟、連合
 confer[動],授与する、授ける、話し合う、協議する
 conference[名],会議、協議会
 confession[名],告白
 confidence[名],信頼、信用、自信
 confident[形],自信がある、確信して、自信に満ちた
 confidential[形],機密の、マル秘の
 confine[動],（ある範囲に）限定する、制限する
 confirm[動],（真実であることを）確認する、裏付ける
 confirmation[名],確認
 conflict[動],対立する、矛盾する、(予定などが)かち合う
 conflict[名],争い、対立、紛争
 conflicting[形],相反する、矛盾する
 conform[動],（規則などに）従う、一致する
 confound[動],当惑させる、混乱させる
 confront[動],直面する、取り組む、対決する
 confrontation[名],対立
 congestion[名],密集、混雑
 congregate[動],集まる、集合する、召集する
 connotation[名],言外の意味、含蓄
 conquest[名],征服、勝利、克服
 conscience[名],良心、分別
 consecutive[形],連続した、間をおかない
 consensus[名],合意、意見の一致
 consent[名],同意、承諾
 consequence[名],結果、成り行き、影響
 conserve[動],保護（保存）する
 considerable[形],(数量、程度などが）かなりの
 considerate[形],思いやりのある、理解のある
 consistency[名],一貫性
 console[動],慰める
 consolidate[動],強固にする、統合する
 conspicuous[形],人目を引く、目立つ
 conspiracy[名],陰謀、共謀
 constituent[名],構成要素、成分、有権者
 constitute[動],構成する
 constitution[名],憲法
 constrain[動],抑制する、を強いる
 constraint[名],束縛、制約
 construction[名],建設
 consultation[名],相談、診察を受けること
 consume[動],消費する
 consumption[名],消費
 contagious[形],接触伝染性の、伝染しやすい
 contaminate[動],汚染する
 contemplate[動],熟考する
 contemporary[形],現代の、現代的な
 contempt[名],軽蔑
 contend[動],主張する、争う
 contentment[名],満足（感）、充実感
 context[名],前後関係、文脈、状況
 contract[動],（協定など）を結ぶ、契約する
 contract[名],契約、契約書
 contradict[動],矛盾する、否定する、反論する
 contradictory[形],矛盾した
 contrary[形],反対の
 contrast[動],～を（～と）対照する、対比する（with～）
 contrast[名],（際立った）相違、対照
 contribution[名],貢献、寄与
 controversial[形],物議を呼ぶ、議論の余地のある
 controversy[名],論争
 convene[動],招集する
 conventional[形],伝統的な、因習的な、従来の
 converge[動],収束する
 conversant[形],精通している
 conversion[名],転換、改宗、換算
 convert[動],変える、転換させる、改造する
 convey[動],運ぶ、伝える
 conviction[名],確信、有罪判決
 convince[動],納得させる、説得する
 cooperative[形],協力的な
 coordinate[動],協調させる、調整する
 cordial[形],思いやりのある、心からの
 corporation[名],法人、企業
 correlation[名],相互（相関）関係、相関性
 correspondence[名],通信、（手紙やメールでの）やり取り
 corridor[名],廊下、回廊
 corrosion[名],腐食、浸食
 corrupt[形],腐敗した、堕落した
 cosmological[形],宇宙論的な
 cosmopolitan[形],世界主義的な、全世界的な
 costly[形],高価な、値段のはる
 council[名],（地方）議会
 counter[動],反論する
 counterfeit[形],偽造の
 counterpart[名],相当/対応する物（人）
 countless[形],無数の、数え切れない
 county[名],郡
 court[名],法廷、宮廷
 courteous[形],礼儀正しい、丁重な
 coverage[名],取材、報道
 cozy[形],居心地のよい
 cram[動],詰め込む、一夜漬けの勉強をする
 cramp[動],けいれんを起こさせる
 cramp[名],痙攣、（足の）つり、急激な腹痛
 crawl[動],はう、はって進む
 creativity[名],創造（独創）力（性）
 credibility[名],信用できること、信頼性
 credit[名],貸付、つけ
 creditor[名],債権者
 creep[動],忍び込む、這う、這って進む
 crest[名],頂上、鳥のとさか、紋章
 crisis[名],危機
 criterion[名],基準、尺度
 critical[形],重大な、決定的な、危機的な、
 criticism[名],批判、批評
 crooked[形],曲がっている
 crucial[形],重要な、決定的な
 crude[形],天然の、未精製の、粗雑な
 cue[名],合図、手掛かり
 cuisine[名],料理
 cult[名],カルト、カルト集団
 cultivate[動],栽培する、育てる、養殖する
 cunning[形],悪賢い、ずるい、巧妙な
 curable[形],治療できる、治癒可能な
 curator[名],（図書館、美術館などの）館長、学芸員
 curb[動],抑える、抑制する
 curfew[名],門限
 curious[形],好奇心が強い
 currency[名],通貨
 current[名],（水、空気の）流れ
 current[形],今現在の
 custody[名],養育権、保護、拘留
 customary[形],習慣的な、慣例の、通常の
 cynical[形],冷笑的な、皮肉な
 dangle[動],ぶら下がる、垂れる
 daring[形],大胆不敵な、無鉄砲な
 debit[動],（金額などを）引き落とす
 debris[名],がれき、破片、残骸、がらくた
 debt[名],負債、借金
 decay[動],腐る、荒廃する、衰える
 decay[名],腐敗、虫歯
 deceased[形],死んだ
 deceitful[形],詐欺の
 decent[形],そこそこの、まともな、上品な
 deception[名],だますこと、詐欺、詐欺行為
 deceptive[形],人を誤らせる、誤解を招くような
 decisive[形],決定的な、明白な
 declare[動],申告する
 decline[動],断る
 decline[名],減退、減少
 decode[動],解読する、暗号を解く
 decompose[動],分解する、腐敗する
 decor[名],装飾（様式）
 decrepit[形],老いぼれた、老衰した
 dedicated[形],献身的な
 dedication[名],献身、専念、（本などの）献辞
 deduct[動],差し引く
 deduction[名],推論、演繹
 deem[動],～と見なす、～と考える
 defect[名],欠陥、欠点
 defective[形],欠陥のある、不完全な
 defendant[名],被告
 defensive[形],防御（防衛）の、守備の
 defer[動],延期する
 deficiency[名],不足、欠乏
 deficit[名],赤字
 define[動],定義する、意味を明らかにする
 definitely[副],明確に、はっきりと、間違いなく
 deflect[動],～をそらす、～の方向を変える
 deforestation[名],森林伐採、森林破壊
 deformity[名],変形
 degrade[動],価値を下げる、地位を落とす、解体させる
 dehydration[名],脱水症状、脱水、乾燥
 dejected[形],気落ちした
 delegate[動],（権限や仕事を）委任する、任せる
 delete[動],削除する、消す
 deliberate[動],熟慮する
 deliberate[形],故意の、計画的な
 demolish[動],（建物などを）解体する、取り壊す
 demonstrate[動],明示する、論証する、説明する
 demote[動],降格させる
 demotion[名],降格
 dent[名],（衝撃を受けてできた小さな）へこみ
 dependency[名],依存、従属、属国、属領
 depict[動],描く、描写する
 deploy[動],配置する、配備する
 deposit[動],預金する、預ける、保管する、堆積させる
 deposit[名],預金、敷金、保証金、埋蔵物
 depot[名],貯蔵場所、（鉄道・バスなどの）発着場
 depression[名],うつ病
 deranged[形],錯乱した
 derive[動],（化合物を）抽出する、引き出す
 descendant[名],子孫、末裔
 descent[名],降下、家系、血統
 deserted[形],人の気配がない
 deserve[動],～に値する
 designate[動],指定する、指名する
 desist[動],やめる
 desperate[形],（人、努力が）必死の
 despise[動],見下す、軽蔑する
 destination[名],目的地
 detachment[名],冷静さ、感情を交えないこと、分遣隊
 detect[動],見つける、検出する、発見する
 detention[名],拘留、居残り
 deteriorate[動],悪化する、悪化させる
 detonate[動],爆発させる、起爆する
 detour[名],回り道、う回路
 devastate[動],困惑させる、打ちのめす、荒廃させる
 developer[名],宅地開発業者、開発者
 devise[動],考案する、考えだす
 devoted[形],献身的な、熱心な
 devour[動],をむさぼり食う、がつがつ食う
 diagnose[動],（病気などを）診断する
 diagnosis[名],診断、分析
 dialect[名],方言
 diameter[名],直径
 dictate[動],指図する、書き取らせる
 digestion[名],消化
 dignity[名],尊厳、威厳
 dilemma[名],板ばさみ、ジレンマ、窮地
diligent[形],勤勉な
 dilution[名],（価値などの）減少、薄めること、希釈物
 dimension[名],側面、特質、次元
 diminish[動],減らす、小さくする
 dioxide[名],二酸化物
 diploma[名],卒業証書、免許状
 diplomat[名],外交官
 disabled[形],身体に障害のある
 disastrous[形],悲惨な、壊滅的な
 discard[動],捨てる、廃棄する
 discharge[動],放出する
 discipline[動],しつける
 discipline[名],規律、しつけ、鍛錬
 disclose[動],公表する、暴露する
 discomfort[名],不快、辛苦
 discontent[名],不満
 discord[名],不一致
 discourage[動],やる気を失わせる、思いとどまらせる、妨げる
 discouraging[形],がっかりさせる（ような）
 discredit[動],の信用を傷つける
 discreet[形],思慮分別のある、慎重な
 discretion[名],思慮分別、慎重
 discriminate[動],差別する、区別する
 disengage[動],を離す、を自由にする
 disgrace[名],不名誉
 disguise[動],変装させる、隠す
 disguise[名],変装
 disgust[動],むかつかせる
 disgust[名],嫌悪、反感
 dislocate[動],脱臼させる
 dismal[形],陰気な、憂うつな
 dismantle[動],（機械などを）分解する
 dismay[動],失望させる、がっかりさせる、狼狽させる
 dismay[名],落胆
 dismiss[動],解散させる、散会させる
 disobedience[名],不服従、違反
 disorder[名],（心身機能の）障害、疾患
 dispatch[動],派遣する
 dispel[動],追い散らす、払い去る
 dispensable[形],たいして重要でない、なくても困らない
 disperse[動],分散させる、追い散らす
 dispirit[動],をがっかりさせる、を落胆させる
 displace[動],立ち退かせる、置き換える、取って代わる
 disposal[名],処分、処理、売却
 disprove[動],（～の）反証を挙げる、誤っていることを示す、（～を）論ばくする
 dispute[動],論争する、異議を唱える
 dispute[名],論争
 disregard[動],無視する、軽視する
 disrupt[動],破壊する、混乱させる、妨害する
 disruption[名],混乱、中断、妨害、分裂
 disruptive[形],破壊的な、規律を乱す
 dissolve[動],溶ける、溶かす
 distinct[形],明らかに異なる、独特の
 distinguished[形],著名な
 distort[動],ゆがめる、ねじる
 distract[動],（注意などを）そらす、気を散らす
 distress[動],悩ませる、悲しませる
 distress[名],苦悩、心痛、貧困
 distribution[名],配布、配送
 disturb[動],混乱させる、妨害する
 ditch[名],溝
 diverge[動],分かれる、分岐する、発散する
 diverse[形],多様な
 diversion[名],迂回路、(進路などの)転換、気晴らし
 diversity[名],多様性
 divert[動],（注意などを）そらす
 divine[形],神聖な
 divorce[名],離婚
 docile[形],柔順な
 domestic[形],国内の、国産の、家庭の
 dominance[名],支配、優勢
 dominate[動],支配する、優位に立つ
 donate[動],寄付する、寄贈する
 doom[動],（失敗、運命などを）決定的なものとする
 doom[名],運命、宿命
 dormant[形],（火山が）活動休止中の、休眠中の
 downfall[名],転落、失脚、（雨などの）大降り
 downplay[動],重要視しない
 downturn[名],下降、下落、沈滞
 draft[名],草稿
 drag[動],引きずる、のろのろと動く
 drain[名],下水、排水
 drastic[形],徹底的な、劇的な、思い切った
 drawback[名],欠点、難点
 dread[動],ひどく恐れる
 dread[名],恐怖
 dreary[形],退屈な、ものわびしい
 drought[名],干ばつ、渇水
 drowsy[形],眠い、眠気を誘う
 dubious[形],疑わしい、いかがわしい
 due[形],（支払）期日で
 dump[動],（ごみなど）をまとめて捨てる
 dump[名],ゴミ捨場
 duplicate[動],複製する、複写する
 duplicate[形],複製の、二重の
 durable[形],耐久性のある、丈夫な
 duration[名],継続、持続、継続時間（期間）
 dutifully[副],忠実に、従順に
 dweller[名],住民
 ease[名],楽、安楽、容易さ
 ecosystem[名],生態系
 edge[名],縁、端、周辺
 edible[形],食べられる、食用の
 effective[形],効果的な
 efficient[形],効率的な、効率のよい
 eject[動],噴出する、追い出す
 elaborate[形],手の込んだ、入念な
 elevation[名],高さ、上昇
 eligible[形],適格な、資格がある
 eliminate[動],除去する、削除する
 eloquent[形],雄弁な、説得力のある
 embarrassment[名],当惑、恥ずかしさ
 embrace[動],抱擁する、（考えなどを）受け入れる、（中に）含む
 emerge[動],現れる、出現する、生まれる
 emergency[名],緊急事態、非常時
 emigrate[動],（他国へ）移住する
 emigration[名],（他国などへの）移住
 emission[名],放出、排出
 empathy[名],共感、感情移入
